# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 2436179948 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.954401
# Diagonal elements of inverse mass matrix:
# 0.460874
-7.09629,0.81934,0.954401,1,3,0,8.23575,0.156449
-6.92217,1,0.954401,1,1,0,7.069,0.181476
-6.824,0.991064,0.954401,2,3,0,7.03084,0.203507
-6.8919,0.986569,0.954401,1,1,0,6.89545,0.187254
-8.3598,0.779928,0.954401,1,3,0,8.73201,0.0788504
-7.31312,0.990512,0.954401,2,3,0,8.62136,0.134962
-7.31312,0.728034,0.954401,1,3,0,10.8063,0.134962
-6.86238,0.952561,0.954401,1,3,0,7.8537,0.312696
-6.76755,0.986795,0.954401,1,3,0,6.94272,0.225856
-6.85783,0.983135,0.954401,2,3,0,6.91196,0.19468
-6.80397,1,0.954401,1,1,0,6.84929,0.209818
-6.7574,0.999774,0.954401,2,7,0,6.79299,0.26737
-6.75608,0.997668,0.954401,1,3,0,6.77826,0.234358
-7.03697,0.941356,0.954401,1,3,0,7.09944,0.163845
-6.94854,1,0.954401,2,3,0,7.03964,0.176912
-6.80133,0.975369,0.954401,1,3,0,7.15696,0.292217
-7.23135,0.933406,0.954401,2,7,0,7.23143,0.142263
-6.76931,0.994584,0.954401,1,3,0,7.23047,0.22482
-6.7523,0.998899,0.954401,2,3,0,6.77904,0.238564
-6.81465,0.987692,0.954401,1,3,0,6.82164,0.206323
-6.82274,0.979742,0.954401,1,3,0,6.98986,0.300261
-7.39802,0.7926,0.954401,1,3,0,8.09413,0.128141
-7.36703,1,0.954401,1,1,0,7.49073,0.130551
-7.01614,1,0.954401,1,1,0,7.30984,0.166671
-7.23995,0.956153,0.954401,2,3,0,7.56013,0.141457
-8.75606,0.868708,0.954401,2,3,0,9.06868,0.0663571
-8.99923,0.975135,0.954401,2,7,0,9.00329,0.551313
-8.80506,1,0.954401,2,7,0,8.84662,0.0649979
-6.86515,0.911031,0.954401,1,3,0,10.3986,0.313482
-7.08272,0.941149,0.954401,1,1,0,7.08825,0.360206
-8.62372,0.824534,0.954401,2,3,0,8.62416,0.524295
-7.23307,1,0.954401,1,1,0,8.21307,0.38417
-6.74906,0.995907,0.954401,1,3,0,7.24137,0.244329
-6.74836,0.980238,0.954401,2,3,0,6.88212,0.253256
-6.85716,0.981324,0.954401,2,3,0,6.89472,0.311188
-6.84104,0.959999,0.954401,1,3,0,7.10431,0.198834
-6.78754,1,0.954401,1,1,0,6.83059,0.216003
-6.7593,0.995206,0.954401,1,3,0,6.8289,0.269075
-6.98575,0.953412,0.954401,1,3,0,7.00101,0.341993
-6.98575,0.860946,0.954401,1,1,0,7.35791,0.341993
-6.78984,0.971501,0.954401,1,3,0,7.15309,0.215061
-6.74802,0.887967,0.954401,2,3,0,7.72954,0.249797
-6.75164,0.989028,0.954401,2,3,0,6.81642,0.239473
-8.64706,0.577385,0.954401,1,3,0,9.80022,0.0695158
-8.47666,1,0.954401,1,1,0,8.79994,0.0748613
-9.48051,0.926131,0.954401,1,1,0,9.48509,0.0493779
-7.6066,0.997246,0.954401,2,3,0,9.64395,0.11384
-6.77405,0.947943,0.954401,1,3,0,8.03802,0.279218
-6.78253,0.969842,0.954401,2,3,0,6.97214,0.218159
-6.83661,0.988705,0.954401,1,1,0,6.83692,0.199998
-6.77451,0.924645,0.954401,2,3,0,7.4337,0.221989
-7.45496,0.921181,0.954401,2,3,0,7.57006,0.413923
-6.80626,0.952971,0.954401,1,3,0,7.72813,0.209042
-6.84681,0.991737,0.954401,1,1,0,6.85116,0.197361
-6.75819,0.997932,0.954401,2,3,0,6.86493,0.232464
-7.39232,0.859602,0.954401,1,3,0,7.60345,0.406029
-7.93964,0.524645,0.954401,3,7,0,10.5209,0.0959488
-6.75128,0.975808,0.954401,1,3,0,8.23359,0.240005
-6.75151,0.999098,0.954401,1,3,0,6.75971,0.260542
-6.75735,0.997071,0.954401,1,3,0,6.77046,0.233187
-6.75857,0.995817,0.954401,2,3,0,6.79354,0.268441
-7.16198,0.940559,0.954401,2,3,0,7.16948,0.14916
-6.88363,0.890264,0.954401,2,3,0,8.33865,0.188954
-7.00838,0.977033,0.954401,1,1,0,7.01302,0.167758
-6.75868,0.985934,0.954401,1,3,0,7.12271,0.268537
-6.75868,0.787263,0.954401,1,3,0,7.67425,0.268537
-6.76569,0.999419,0.954401,2,3,0,6.76698,0.273975
-6.77555,0.991149,0.954401,1,3,0,6.82845,0.22146
-6.77208,0.9854,0.954401,2,3,0,6.90031,0.278062
-6.92744,0.970767,0.954401,1,3,0,6.92965,0.329341
-7.13418,0.942839,0.954401,1,1,0,7.15288,0.368879
-7.10983,1,0.954401,1,1,0,7.22182,0.364845
-6.95471,0.893697,0.954401,1,3,0,7.72337,0.175897
-7.53096,0.923105,0.954401,1,3,0,7.55103,0.118681
-7.74996,0.972796,0.954401,1,1,0,7.81387,0.105532
-7.91668,0.958841,0.954401,2,3,0,8.682,0.0970358
-7.4813,1,0.954401,1,1,0,7.88169,0.122062
-6.83412,0.98657,0.954401,1,3,0,7.44333,0.200669
-6.92233,0.977824,0.954401,2,3,0,7.06296,0.181448
-6.78005,0.997953,0.954401,1,3,0,6.89756,0.219288
-6.9425,0.986609,0.954401,2,3,0,6.94411,0.332771
-6.82533,0.960446,0.954401,1,3,0,7.18975,0.203121
-6.79677,1,0.954401,1,1,0,6.82394,0.212389
-6.79427,1,0.954401,1,1,0,6.80571,0.213326
-7.22054,0.927233,0.954401,1,3,0,7.27531,0.143292
-6.75064,1,0.954401,2,3,0,7.13257,0.259124
-6.84347,0.980096,0.954401,1,3,0,6.85376,0.307069
-6.93157,0.927617,0.954401,1,3,0,7.26237,0.179804
-6.89109,1,0.954401,1,1,0,6.94283,0.187418
-9.60631,0.69504,0.954401,2,3,0,9.66019,0.0469958
-9.13737,1,0.954401,1,1,0,9.6947,0.0566518
-9.17225,0.972367,0.954401,2,7,0,9.31743,0.562897
-11.1038,0.561759,0.954401,1,1,0,11.5459,0.666661
-7.52952,1,0.954401,1,1,0,9.99756,0.422901
-6.78887,0.964101,0.954401,1,3,0,7.74178,0.215455
-6.91616,0.976004,0.954401,2,3,0,7.00579,0.182573
-6.80781,0.980429,0.954401,1,3,0,7.12242,0.294788
-6.80781,0.630348,0.954401,1,3,0,8.72844,0.294788
-6.84861,0.965903,0.954401,1,3,0,7.03894,0.196912
-9.44082,0.589377,0.954401,1,3,0,10.3995,0.579947
-8.11081,1,0.954401,1,1,0,9.25181,0.482122
-8.11081,0.513343,0.954401,1,1,0,9.74537,0.482122
-6.77261,1,0.954401,2,3,0,8.21039,0.222987
-6.98296,0.941775,0.954401,1,3,0,7.13827,0.341422
-6.82181,1,0.954401,1,1,0,6.94106,0.299937
-7.85627,0.842572,0.954401,2,7,0,7.85713,0.0999866
-7.91894,0.984722,0.954401,2,7,0,7.9336,0.464265
-6.74862,0.945487,0.954401,2,3,0,8.30029,0.254349
-6.75204,0.999385,0.954401,1,3,0,6.75212,0.261323
-6.75096,0.999257,0.954401,2,3,0,6.75869,0.259655
-6.99511,0.94703,0.954401,1,3,0,7.02764,0.343885
-6.8854,1,0.954401,1,1,0,6.98293,0.318992
-7.66577,0.703655,0.954401,1,3,0,8.80386,0.110284
